排名,股票代码,股票名称,所属行业,自由现金流率,权重,权重百分比,自由现金流(万元),经营现金流(万元),最新股价(元)
1,000015,测试股票015,电气设备,0.000055,0.0263,2.63%,"28,502","33,994",5.16
2,000168,测试股票168,制造业,0.000021,0.0191,1.91%,"20,720","36,098",9.85
3,000104,测试股票104,有色金属,0.000020,0.0145,1.45%,"15,712","34,188",7.99
4,000097,测试股票097,信息技术,0.000016,0.0299,2.99%,"32,339","34,051",20.74
5,000044,测试股票044,电气设备,0.000015,0.0281,2.81%,"30,479","36,463",20.95
6,000094,测试股票094,煤炭,0.000012,0.0249,2.49%,"26,966","44,227",22.52
7,000006,测试股票006,医药生物,0.000010,0.0337,3.37%,"36,480","47,125",38.14
8,000200,测试股票200,化工,0.000009,0.0388,3.88%,"42,024","49,171",47.49
9,000076,测试股票076,医药生物,0.000009,0.0235,2.35%,"25,413","38,618",28.95
10,000165,测试股票165,食品饮料,0.000008,0.0205,2.05%,"22,156","25,867",28.04
11,000016,测试股票016,汽车,0.000008,0.0265,2.65%,"28,662","33,451",36.43
12,000192,测试股票192,制造业,0.000008,0.0247,2.47%,"26,749","36,653",34.17
13,000135,测试股票135,有色金属,0.000007,0.0292,2.92%,"31,597","35,098",42.38
14,000178,测试股票178,钢铁,0.000006,0.0318,3.18%,"34,482","44,058",55.40
15,000156,测试股票156,化工,0.000006,0.0329,3.29%,"35,639","37,768",58.72
16,000123,测试股票123,商业贸易,0.000006,0.0203,2.03%,"21,937","33,765",36.28
17,000185,测试股票185,汽车,0.000006,0.0267,2.67%,"28,859","35,207",48.96
18,000045,测试股票045,机械设备,0.000006,0.0136,1.36%,"14,680","17,591",25.30
19,000070,测试股票070,纺织服装,0.000006,0.0246,2.46%,"26,683","46,331",46.02
20,000031,测试股票031,建筑材料,0.000005,0.0263,2.63%,"28,527","38,282",54.20
21,000122,测试股票122,电子,0.000005,0.0256,2.56%,"27,677","32,759",59.62
22,000141,测试股票141,建筑材料,0.000004,0.0218,2.18%,"23,559","32,392",52.42
23,000088,测试股票088,化工,0.000004,0.0348,3.48%,"37,630","49,237",89.84
24,000090,测试股票090,建筑材料,0.000004,0.0235,2.35%,"25,491","42,364",61.04
25,000147,测试股票147,医药生物,0.000004,0.0300,3.00%,"32,513","34,888",78.02
26,000115,测试股票115,石油石化,0.000004,0.0231,2.31%,"25,053","29,129",62.58
27,000199,测试股票199,食品饮料,0.000004,0.0297,2.97%,"32,127","45,282",80.30
28,000137,测试股票137,食品饮料,0.000004,0.0226,2.26%,"24,466","26,265",64.85
29,000193,测试股票193,医药生物,0.000004,0.0253,2.53%,"27,395","35,457",75.98
30,000077,测试股票077,信息技术,0.000003,0.0251,2.51%,"27,193","38,068",89.26
31,000166,测试股票166,石油石化,0.000003,0.0199,1.99%,"21,526","38,075",73.96
32,000052,测试股票052,煤炭,0.000003,0.0153,1.53%,"16,614","22,688",59.77
33,000043,测试股票043,有色金属,0.000003,0.0100,1.00%,"10,846","27,805",39.93
34,000081,测试股票081,石油石化,0.000003,0.0217,2.17%,"23,519","40,175",88.80
35,000174,测试股票174,电气设备,0.000002,0.0198,1.98%,"21,406","29,711",87.47
36,000041,测试股票041,商业贸易,0.000002,0.0058,0.58%,"6,298","25,205",26.02
37,000151,测试股票151,化工,0.000002,0.0201,2.01%,"21,781","38,553",93.01
38,000144,测试股票144,纺织服装,0.000002,0.0183,1.83%,"19,843","30,337",88.81
39,000142,测试股票142,医药生物,0.000002,0.0177,1.77%,"19,217","28,914",92.58
40,000040,测试股票040,机械设备,0.000002,0.0136,1.36%,"14,725","33,843",71.13
41,000176,测试股票176,机械设备,0.000002,0.0074,0.74%,"7,984","24,631",52.68
42,000186,测试股票186,机械设备,0.000001,0.0125,1.25%,"13,518","29,672",94.48
43,000049,测试股票049,煤炭,0.000001,0.0090,0.90%,"9,724","20,347",83.32
44,000129,测试股票129,煤炭,0.000001,0.0063,0.63%,"6,777","12,943",66.42
45,000159,测试股票159,电子,0.000001,0.0074,0.74%,"8,021","22,263",85.98
46,000055,测试股票055,钢铁,0.000001,0.0052,0.52%,"5,591","24,921",69.48
47,000030,测试股票030,制造业,0.000001,0.0064,0.64%,"6,883","25,363",90.98
48,000181,测试股票181,钢铁,0.000001,0.0063,0.63%,"6,874","16,424",94.41
